filename,word_count,long_video,deep_review_priority,novelty_score,coverage_score,rules_hit,rules_list
Another Red Day -$2K Ross' Trade Recap.txt,4254,True,True,0.9877,0.0123,11,SCRN-004_price_range|ENTR-002_fcnh|ENTR-004_micro_pullback|STOP-003_fifty_pct_daily_stop|STOP-004_thirty_pct_soft_stop|PROF-001_dont_cap_green|PROF-004_size_up_hot|PROF-005_cold_market|MKTCOND-001_cold_hot_framework|MKTCOND-002_leading_gapper|TIMING-003_midday_dead
+$23k as TWMC Squeezes +300% Ross's Trade Recap.txt,4348,True,True,0.9876,0.0124,14,SCRN-001_news_catalyst|SCRN-003_float|SCRN-004_price_range|SCRN-005_daily_chart_room|ENTR-003_dollar_levels|STOP-003_fifty_pct_daily_stop|STOP-004_thirty_pct_soft_stop|STOP-007_position_stop|PROF-003_daily_goals|MKTCOND-001_cold_hot_framework|MKTCOND-005_seasonal|TIMING-001_premarket_watch|TIMING-002_opening_range|TIMING-003_midday_dead
Another Tricky Day of Trading Ross's Trade Recap.txt,8725,True,True,0.9876,0.0124,17,SCRN-001_news_catalyst|SCRN-004_price_range|SCRN-009_short_interest|ENTR-002_fcnh|ENTR-003_dollar_levels|ENTR-004_micro_pullback|STOP-003_fifty_pct_daily_stop|STOP-004_thirty_pct_soft_stop|STOP-006_halt_offering|PROF-001_dont_cap_green|PROF-002_scale_out|PROF-003_daily_goals|PROF-005_cold_market|MKTCOND-001_cold_hot_framework|MKTCOND-005_seasonal|TIMING-002_opening_range|TIMING-003_midday_dead
Biggest Red Day of My Career (to date) -$65k Ross's Trade Recap.txt,11573,True,True,0.9876,0.0124,19,SCRN-001_news_catalyst|SCRN-004_price_range|ENTR-002_fcnh|ENTR-003_dollar_levels|ENTR-004_micro_pullback|ENTR-009_topping_tails|STOP-003_fifty_pct_daily_stop|STOP-004_thirty_pct_soft_stop|STOP-007_position_stop|PROF-001_dont_cap_green|PROF-002_scale_out|PROF-003_daily_goals|PROF-004_size_up_hot|PROF-005_cold_market|MKTCOND-001_cold_hot_framework|MKTCOND-002_leading_gapper|MKTCOND-005_seasonal|TIMING-001_premarket_watch|TIMING-002_opening_range
"Day 15 +$19,660.70 (+100%) Small Account Challenge Ep 21.txt",5924,True,True,0.9876,0.0124,15,SCRN-003_float|SCRN-009_short_interest|ENTR-002_fcnh|ENTR-003_dollar_levels|ENTR-004_micro_pullback|STOP-003_fifty_pct_daily_stop|STOP-004_thirty_pct_soft_stop|STOP-007_position_stop|PROF-003_daily_goals|MKTCOND-001_cold_hot_framework|MKTCOND-002_leading_gapper|MKTCOND-005_seasonal|TIMING-001_premarket_watch|TIMING-003_midday_dead|TIMING-006_power_hour
LIVE Day Trading Morning Show with Ross Cameron [-K2D_LN8zoU].txt,3515,True,True,0.9876,0.0124,9,SCRN-001_news_catalyst|SCRN-004_price_range|SCRN-005_daily_chart_room|ENTR-004_micro_pullback|ENTR-007_order_spoofing|PROF-005_cold_market|MKTCOND-002_leading_gapper|TIMING-001_premarket_watch|TIMING-002_opening_range
Lackluster Market & Another Red Day Ross' Trade Recap.txt,1936,True,True,0.9876,0.0124,8,SCRN-001_news_catalyst|SCRN-003_float|SCRN-004_price_range|SCRN-006_reverse_splits|ENTR-003_dollar_levels|STOP-007_position_stop|MKTCOND-005_seasonal|TIMING-003_midday_dead
Red Day Recap -$37k Day Trading Recap by Ross Cameron.txt,1532,True,True,0.9876,0.0124,6,ENTR-003_dollar_levels|STOP-006_halt_offering|PROF-001_dont_cap_green|PROF-003_daily_goals|MKTCOND-002_leading_gapper|TIMING-001_premarket_watch
There Was ONLY 1 OBVIOUS Trade....txt,3760,True,True,0.9876,0.0124,16,SCRN-001_news_catalyst|SCRN-004_price_range|SCRN-010_front_back_side|ENTR-002_fcnh|ENTR-004_micro_pullback|ENTR-005_vwap|STOP-003_fifty_pct_daily_stop|PROF-003_daily_goals|PROF-004_size_up_hot|PROF-005_cold_market|PROF-006_start_small|MKTCOND-002_leading_gapper|MKTCOND-003_cheap_gappers|MKTCOND-004_overall_market|TIMING-002_opening_range|TIMING-003_midday_dead
$AMAM +50% on the daily breakout.txt,2298,True,True,0.9875,0.0125,10,SCRN-004_price_range|SCRN-005_daily_chart_room|SCRN-009_short_interest|ENTR-003_dollar_levels|STOP-003_fifty_pct_daily_stop|STOP-007_position_stop|PROF-002_scale_out|MKTCOND-002_leading_gapper|TIMING-001_premarket_watch|TIMING-002_opening_range
$SYRA goes from $1.20 to 9.80 in 15 minutes! +800%.txt,3906,True,True,0.9875,0.0125,10,ENTR-004_micro_pullback|STOP-003_fifty_pct_daily_stop|STOP-004_thirty_pct_soft_stop|STOP-007_position_stop|PROF-004_size_up_hot|MKTCOND-001_cold_hot_framework|MKTCOND-002_leading_gapper|MKTCOND-003_cheap_gappers|TIMING-002_opening_range|TIMING-006_power_hour
Day 1 of Martha's Vineyard Trading Challenge Day Trading Recap by Ross Cameron.txt,5491,True,True,0.9875,0.0125,14,SCRN-001_news_catalyst|SCRN-008_sector_theme|ENTR-002_fcnh|ENTR-004_micro_pullback|ENTR-005_vwap|STOP-003_fifty_pct_daily_stop|STOP-004_thirty_pct_soft_stop|PROF-003_daily_goals|PROF-004_size_up_hot|PROF-005_cold_market|MKTCOND-002_leading_gapper|TIMING-001_premarket_watch|TIMING-005_session_length|TIMING-006_power_hour
I had a regrettable performance today.txt,4555,True,True,0.9875,0.0125,14,SCRN-001_news_catalyst|SCRN-004_price_range|SCRN-005_daily_chart_room|SCRN-010_front_back_side|ENTR-003_dollar_levels|ENTR-004_micro_pullback|ENTR-007_order_spoofing|ENTR-009_topping_tails|STOP-001_macd_hands_off|STOP-003_fifty_pct_daily_stop|STOP-004_thirty_pct_soft_stop|MKTCOND-002_leading_gapper|TIMING-001_premarket_watch|TIMING-002_opening_range
MAX LOSS - My Worst Day Since March.txt,5534,True,True,0.9875,0.0125,11,SCRN-002_relative_volume|SCRN-003_float|SCRN-010_front_back_side|ENTR-003_dollar_levels|ENTR-004_micro_pullback|ENTR-005_vwap|STOP-003_fifty_pct_daily_stop|STOP-007_position_stop|MKTCOND-002_leading_gapper|MKTCOND-003_cheap_gappers|TIMING-002_opening_range
Red Day Recap on Day 27 of the 100k Challenge.txt,6824,True,True,0.9875,0.0125,14,SCRN-001_news_catalyst|ENTR-002_fcnh|ENTR-003_dollar_levels|ENTR-006_bull_flag|ENTR-009_topping_tails|STOP-002_ema_cross|STOP-003_fifty_pct_daily_stop|PROF-001_dont_cap_green|PROF-005_cold_market|MKTCOND-002_leading_gapper|TIMING-001_premarket_watch|TIMING-002_opening_range|TIMING-003_midday_dead|TIMING-006_power_hour
+$14k Bouncing Back like a CHAMP Ross's Trade Recap.txt,3038,True,True,0.9874,0.0126,11,SCRN-004_price_range|SCRN-008_sector_theme|SCRN-010_front_back_side|ENTR-003_dollar_levels|ENTR-005_vwap|STOP-001_macd_hands_off|STOP-007_position_stop|PROF-005_cold_market|MKTCOND-001_cold_hot_framework|TIMING-002_opening_range|TIMING-003_midday_dead
Big Green February! Ross' Trade Recap.txt,4055,True,True,0.9874,0.0126,12,SCRN-001_news_catalyst|SCRN-003_float|SCRN-009_short_interest|ENTR-002_fcnh|ENTR-004_micro_pullback|ENTR-005_vwap|PROF-005_cold_market|MKTCOND-002_leading_gapper|MKTCOND-005_seasonal|TIMING-001_premarket_watch|TIMING-002_opening_range|TIMING-003_midday_dead
"Bouncing Back +$4,120! Ross' Trade Recap.txt",4109,True,True,0.9874,0.0126,10,SCRN-004_price_range|SCRN-009_short_interest|ENTR-003_dollar_levels|STOP-003_fifty_pct_daily_stop|PROF-002_scale_out|MKTCOND-003_cheap_gappers|MKTCOND-005_seasonal|TIMING-001_premarket_watch|TIMING-002_opening_range|TIMING-003_midday_dead
Daily Recap +$18k on (NASDAQ $SJ) Recap by Ross Cameron.txt,3751,True,True,0.9874,0.0126,13,SCRN-001_news_catalyst|ENTR-004_micro_pullback|ENTR-009_topping_tails|STOP-003_fifty_pct_daily_stop|STOP-004_thirty_pct_soft_stop|PROF-003_daily_goals|PROF-005_cold_market|MKTCOND-001_cold_hot_framework|MKTCOND-002_leading_gapper|MKTCOND-004_overall_market|TIMING-001_premarket_watch|TIMING-002_opening_range|TIMING-006_power_hour
Day 24 of the $100k Challenge What do Football and Day Trading have in Common.txt,7863,True,True,0.9874,0.0126,12,SCRN-001_news_catalyst|SCRN-005_daily_chart_room|ENTR-002_fcnh|ENTR-003_dollar_levels|ENTR-006_bull_flag|STOP-003_fifty_pct_daily_stop|PROF-001_dont_cap_green|PROF-003_daily_goals|PROF-005_cold_market|TIMING-001_premarket_watch|TIMING-002_opening_range|TIMING-003_midday_dead
"New Year, New You +$2,759! Ross's Trade Recap.txt",3020,True,True,0.9874,0.0126,8,SCRN-004_price_range|SCRN-005_daily_chart_room|ENTR-003_dollar_levels|STOP-003_fifty_pct_daily_stop|PROF-001_dont_cap_green|MKTCOND-002_leading_gapper|MKTCOND-005_seasonal|TIMING-002_opening_range
+$10k Donating All Profits to Four Charities! Recap by Ross Cameron.txt,1991,True,True,0.9873,0.0127,8,SCRN-001_news_catalyst|SCRN-003_float|SCRN-004_price_range|STOP-003_fifty_pct_daily_stop|MKTCOND-002_leading_gapper|MKTCOND-005_seasonal|TIMING-002_opening_range|TIMING-003_midday_dead
5th Consecutive Red Day Ross's Trade Recap.txt,3518,True,True,0.9873,0.0127,8,SCRN-001_news_catalyst|SCRN-003_float|ENTR-002_fcnh|ENTR-003_dollar_levels|MKTCOND-002_leading_gapper|TIMING-001_premarket_watch|TIMING-002_opening_range|TIMING-003_midday_dead
A Warrior's Journey & a $25K Donation! Ross' Trade Recap.txt,6410,True,True,0.9873,0.0127,16,SCRN-001_news_catalyst|SCRN-003_float|SCRN-004_price_range|SCRN-005_daily_chart_room|SCRN-008_sector_theme|ENTR-003_dollar_levels|STOP-003_fifty_pct_daily_stop|STOP-006_halt_offering|PROF-002_scale_out|PROF-004_size_up_hot|MKTCOND-001_cold_hot_framework|MKTCOND-002_leading_gapper|MKTCOND-003_cheap_gappers|TIMING-001_premarket_watch|TIMING-003_midday_dead|TIMING-005_session_length
Double My Daily Goal +$5K on LEDS! Ross' Trade Recap.txt,2054,True,True,0.9873,0.0127,6,SCRN-001_news_catalyst|SCRN-003_float|SCRN-004_price_range|STOP-004_thirty_pct_soft_stop|TIMING-001_premarket_watch|TIMING-003_midday_dead
RED DAY RECAP [qAdtEZw0zW4].txt,2170,True,True,0.9873,0.0127,6,SCRN-003_float|SCRN-005_daily_chart_room|ENTR-004_micro_pullback|STOP-003_fifty_pct_daily_stop|STOP-006_halt_offering|MKTCOND-003_cheap_gappers
Reducing Risk & Trading Less.txt,3493,True,True,0.9873,0.0127,13,SCRN-004_price_range|ENTR-004_micro_pullback|ENTR-009_topping_tails|STOP-007_position_stop|PROF-001_dont_cap_green|PROF-002_scale_out|PROF-004_size_up_hot|PROF-005_cold_market|MKTCOND-001_cold_hot_framework|MKTCOND-002_leading_gapper|MKTCOND-003_cheap_gappers|TIMING-001_premarket_watch|TIMING-002_opening_range
+$40k on My 40th Consecutive Green Day! Ross's Trade Recap.txt,5821,True,True,0.9872,0.0128,17,SCRN-001_news_catalyst|SCRN-002_relative_volume|SCRN-003_float|SCRN-004_price_range|SCRN-006_reverse_splits|SCRN-010_front_back_side|ENTR-002_fcnh|ENTR-003_dollar_levels|ENTR-004_micro_pullback|ENTR-008_double_bottom|STOP-003_fifty_pct_daily_stop|PROF-004_size_up_hot|PROF-006_start_small|MKTCOND-002_leading_gapper|MKTCOND-003_cheap_gappers|TIMING-002_opening_range|TIMING-003_midday_dead
11th Green Day in a Row! +$3K! Ross' Trade Recap.txt,2355,True,True,0.9872,0.0128,7,SCRN-003_float|PROF-001_dont_cap_green|MKTCOND-001_cold_hot_framework|MKTCOND-002_leading_gapper|MKTCOND-005_seasonal|TIMING-002_opening_range|TIMING-003_midday_dead
A $12K Red Day (.txt,4203,True,True,0.9872,0.0128,9,SCRN-005_daily_chart_room|SCRN-009_short_interest|ENTR-003_dollar_levels|ENTR-009_topping_tails|STOP-003_fifty_pct_daily_stop|PROF-005_cold_market|MKTCOND-001_cold_hot_framework|TIMING-001_premarket_watch|TIMING-003_midday_dead
Big Momentum with $FOXO +774% and $BTCT +350%.txt,7171,True,True,0.9872,0.0128,18,SCRN-001_news_catalyst|SCRN-003_float|SCRN-004_price_range|SCRN-005_daily_chart_room|SCRN-007_foreign_stocks|SCRN-009_short_interest|ENTR-001_macd_gate|ENTR-002_fcnh|ENTR-005_vwap|ENTR-008_double_bottom|ENTR-009_topping_tails|STOP-003_fifty_pct_daily_stop|PROF-005_cold_market|PROF-006_start_small|MKTCOND-001_cold_hot_framework|MKTCOND-003_cheap_gappers|TIMING-001_premarket_watch|TIMING-002_opening_range
Choppy Opening and No Follow Through -$13k Ross's Trade Recap.txt,8402,True,True,0.9872,0.0128,18,SCRN-004_price_range|ENTR-002_fcnh|ENTR-003_dollar_levels|ENTR-004_micro_pullback|ENTR-009_topping_tails|STOP-003_fifty_pct_daily_stop|STOP-004_thirty_pct_soft_stop|STOP-007_position_stop|PROF-004_size_up_hot|PROF-006_start_small|MKTCOND-001_cold_hot_framework|MKTCOND-002_leading_gapper|MKTCOND-003_cheap_gappers|MKTCOND-004_overall_market|TIMING-001_premarket_watch|TIMING-002_opening_range|TIMING-003_midday_dead|TIMING-006_power_hour
"Free Day Trading Class Monday at 1pm The topic Finding Setups, Timing Entries, and Managing Risk.txt",7575,True,True,0.9872,0.0128,17,SCRN-001_news_catalyst|SCRN-003_float|SCRN-004_price_range|SCRN-006_reverse_splits|SCRN-007_foreign_stocks|ENTR-002_fcnh|ENTR-003_dollar_levels|ENTR-004_micro_pullback|STOP-006_halt_offering|PROF-002_scale_out|PROF-004_size_up_hot|PROF-005_cold_market|MKTCOND-001_cold_hot_framework|MKTCOND-004_overall_market|MKTCOND-005_seasonal|TIMING-002_opening_range|TIMING-003_midday_dead
Today's MOST OBVIOUS Trade [0LLArJinVeg].txt,5066,True,True,0.9872,0.0128,17,SCRN-001_news_catalyst|SCRN-003_float|SCRN-005_daily_chart_room|SCRN-006_reverse_splits|SCRN-008_sector_theme|SCRN-010_front_back_side|ENTR-001_macd_gate|ENTR-004_micro_pullback|ENTR-005_vwap|STOP-003_fifty_pct_daily_stop|PROF-001_dont_cap_green|PROF-003_daily_goals|PROF-006_start_small|MKTCOND-002_leading_gapper|MKTCOND-003_cheap_gappers|TIMING-002_opening_range|TIMING-006_power_hour
$56K in 10 Days! Ross' Trade Recap.txt,3871,True,True,0.9871,0.0129,11,SCRN-001_news_catalyst|SCRN-002_relative_volume|SCRN-003_float|SCRN-008_sector_theme|ENTR-002_fcnh|ENTR-003_dollar_levels|MKTCOND-001_cold_hot_framework|MKTCOND-002_leading_gapper|MKTCOND-005_seasonal|TIMING-001_premarket_watch|TIMING-003_midday_dead
3rd Green Day In a Row!.txt,2713,True,True,0.9871,0.0129,8,SCRN-004_price_range|SCRN-010_front_back_side|ENTR-002_fcnh|ENTR-003_dollar_levels|ENTR-009_topping_tails|MKTCOND-002_leading_gapper|TIMING-002_opening_range|TIMING-003_midday_dead
Another Frustrating Day on The Market!.txt,3078,True,True,0.9871,0.0129,7,SCRN-001_news_catalyst|SCRN-004_price_range|SCRN-009_short_interest|ENTR-003_dollar_levels|PROF-004_size_up_hot|MKTCOND-002_leading_gapper|TIMING-003_midday_dead
"Day 62 of the $583 Challenge +$6,417.92 #Redemption.txt",3708,True,True,0.9871,0.0129,8,SCRN-001_news_catalyst|SCRN-003_float|ENTR-002_fcnh|ENTR-003_dollar_levels|ENTR-009_topping_tails|STOP-004_thirty_pct_soft_stop|MKTCOND-004_overall_market|TIMING-003_midday_dead
Day Trading Recap $MOB $CDIO $ $OKYO $CJJD.txt,907,False,False,0.9871,0.0129,5,SCRN-001_news_catalyst|STOP-004_thirty_pct_soft_stop|PROF-001_dont_cap_green|TIMING-001_premarket_watch|TIMING-006_power_hour
Drowning My Sorrows After A Red Day Ross' Trade Recap.txt,5065,True,True,0.9871,0.0129,14,SCRN-002_relative_volume|SCRN-003_float|SCRN-009_short_interest|ENTR-002_fcnh|ENTR-003_dollar_levels|ENTR-004_micro_pullback|ENTR-006_bull_flag|ENTR-009_topping_tails|STOP-003_fifty_pct_daily_stop|PROF-001_dont_cap_green|PROF-004_size_up_hot|PROF-005_cold_market|MKTCOND-002_leading_gapper|MKTCOND-005_seasonal
"Finishing Up +$9,299... Sort of Ross' Trade Recap.txt",4380,True,True,0.9871,0.0129,12,SCRN-003_float|SCRN-005_daily_chart_room|ENTR-002_fcnh|STOP-003_fifty_pct_daily_stop|PROF-001_dont_cap_green|PROF-004_size_up_hot|PROF-005_cold_market|MKTCOND-002_leading_gapper|TIMING-001_premarket_watch|TIMING-002_opening_range|TIMING-003_midday_dead|TIMING-006_power_hour
Kicking Back After a $7K Day! Ross' Trade Recap.txt,6482,True,True,0.9871,0.0129,16,SCRN-003_float|SCRN-004_price_range|SCRN-005_daily_chart_room|SCRN-010_front_back_side|ENTR-002_fcnh|ENTR-003_dollar_levels|ENTR-004_micro_pullback|STOP-004_thirty_pct_soft_stop|PROF-003_daily_goals|MKTCOND-001_cold_hot_framework|MKTCOND-002_leading_gapper|MKTCOND-004_overall_market|MKTCOND-005_seasonal|TIMING-001_premarket_watch|TIMING-002_opening_range|TIMING-003_midday_dead
Red to GREEN on $PGY Day Trading Recap by Ross Cameron.txt,3630,True,True,0.9871,0.0129,9,SCRN-003_float|SCRN-004_price_range|SCRN-005_daily_chart_room|ENTR-009_topping_tails|STOP-003_fifty_pct_daily_stop|STOP-006_halt_offering|TIMING-001_premarket_watch|TIMING-002_opening_range|TIMING-006_power_hour
Wow! Trades are GREEN.txt,2060,True,True,0.9871,0.0129,7,SCRN-004_price_range|ENTR-003_dollar_levels|STOP-003_fifty_pct_daily_stop|PROF-001_dont_cap_green|TIMING-002_opening_range|TIMING-003_midday_dead|TIMING-005_session_length
[LIVE] DAY TRADING Morning Show 9 00 - 9 30am ET with Ross Cameron [R00aE060t5o].txt,866,False,False,0.9871,0.0129,2,SCRN-003_float|SCRN-004_price_range
$SQL +261% Gap and Go Setup!.txt,2389,True,True,0.987,0.013,10,SCRN-001_news_catalyst|SCRN-004_price_range|SCRN-009_short_interest|ENTR-001_macd_gate|ENTR-002_fcnh|ENTR-003_dollar_levels|ENTR-009_topping_tails|PROF-004_size_up_hot|MKTCOND-005_seasonal|TIMING-002_opening_range
All Hot Streaks Must End Ross' Trade Recap.txt,3018,True,True,0.987,0.013,10,SCRN-003_float|SCRN-004_price_range|SCRN-009_short_interest|ENTR-003_dollar_levels|STOP-003_fifty_pct_daily_stop|PROF-001_dont_cap_green|PROF-004_size_up_hot|MKTCOND-005_seasonal|TIMING-001_premarket_watch|TIMING-002_opening_range
I Want You to Learn How I Lost Money Ross' Trade Recap.txt,6696,True,True,0.987,0.013,19,SCRN-001_news_catalyst|SCRN-002_relative_volume|SCRN-004_price_range|SCRN-005_daily_chart_room|SCRN-008_sector_theme|ENTR-003_dollar_levels|ENTR-004_micro_pullback|ENTR-006_bull_flag|STOP-003_fifty_pct_daily_stop|PROF-001_dont_cap_green|PROF-003_daily_goals|PROF-004_size_up_hot|PROF-005_cold_market|MKTCOND-001_cold_hot_framework|MKTCOND-002_leading_gapper|MKTCOND-005_seasonal|TIMING-001_premarket_watch|TIMING-003_midday_dead|TIMING-005_session_length
I'm Back in The Saddle.txt,2710,True,True,0.987,0.013,13,SCRN-001_news_catalyst|SCRN-005_daily_chart_room|SCRN-006_reverse_splits|SCRN-009_short_interest|ENTR-002_fcnh|STOP-003_fifty_pct_daily_stop|PROF-003_daily_goals|PROF-005_cold_market|MKTCOND-002_leading_gapper|TIMING-001_premarket_watch|TIMING-002_opening_range|TIMING-003_midday_dead|TIMING-005_session_length
I'm Lovin' This Hot Streak! Ross' Trade Recap.txt,4276,True,True,0.987,0.013,9,SCRN-005_daily_chart_room|ENTR-003_dollar_levels|ENTR-004_micro_pullback|PROF-003_daily_goals|MKTCOND-001_cold_hot_framework|MKTCOND-002_leading_gapper|MKTCOND-005_seasonal|TIMING-001_premarket_watch|TIMING-003_midday_dead
One of Those Blah Trading Days Ross' Trade Recap.txt,4220,True,True,0.987,0.013,14,SCRN-004_price_range|SCRN-005_daily_chart_room|SCRN-009_short_interest|SCRN-010_front_back_side|ENTR-003_dollar_levels|ENTR-004_micro_pullback|ENTR-007_order_spoofing|STOP-003_fifty_pct_daily_stop|PROF-005_cold_market|MKTCOND-001_cold_hot_framework|MKTCOND-002_leading_gapper|MKTCOND-003_cheap_gappers|TIMING-001_premarket_watch|TIMING-003_midday_dead
Recovered 1 2 of Yesterday's Loss....THIS IS PROGRESS.txt,1712,True,True,0.987,0.013,6,SCRN-001_news_catalyst|ENTR-005_vwap|PROF-002_scale_out|MKTCOND-001_cold_hot_framework|TIMING-001_premarket_watch|TIMING-002_opening_range
Well Here We Are -$3K Ross' Trade Recap.txt,4551,True,True,0.987,0.013,13,SCRN-001_news_catalyst|SCRN-003_float|SCRN-004_price_range|SCRN-010_front_back_side|ENTR-004_micro_pullback|ENTR-007_order_spoofing|STOP-003_fifty_pct_daily_stop|PROF-001_dont_cap_green|MKTCOND-002_leading_gapper|MKTCOND-005_seasonal|TIMING-001_premarket_watch|TIMING-002_opening_range|TIMING-003_midday_dead
$47k in 4 Days! Ross's Trade Recap.txt,4786,True,True,0.9869,0.0131,12,SCRN-001_news_catalyst|SCRN-003_float|SCRN-004_price_range|SCRN-008_sector_theme|ENTR-002_fcnh|ENTR-003_dollar_levels|STOP-003_fifty_pct_daily_stop|PROF-003_daily_goals|MKTCOND-002_leading_gapper|MKTCOND-005_seasonal|TIMING-001_premarket_watch|TIMING-003_midday_dead
"+$3,232.67 in 1hr with 100% accuracy....Awesome!!.txt",2743,True,True,0.9869,0.0131,11,SCRN-001_news_catalyst|SCRN-004_price_range|SCRN-005_daily_chart_room|SCRN-006_reverse_splits|ENTR-002_fcnh|ENTR-004_micro_pullback|ENTR-009_topping_tails|PROF-005_cold_market|MKTCOND-005_seasonal|TIMING-001_premarket_watch|TIMING-003_midday_dead
"1st Red Day In September -$1,200 Ross' Trade Recap.txt",2408,True,True,0.9869,0.0131,10,SCRN-004_price_range|ENTR-006_bull_flag|ENTR-009_topping_tails|STOP-003_fifty_pct_daily_stop|STOP-006_halt_offering|STOP-007_position_stop|PROF-005_cold_market|MKTCOND-001_cold_hot_framework|MKTCOND-002_leading_gapper|TIMING-003_midday_dead
"A Hard Day of Trading +$4,116! Ross' Trade Recap.txt",4404,True,True,0.9869,0.0131,16,SCRN-001_news_catalyst|SCRN-002_relative_volume|SCRN-003_float|SCRN-004_price_range|SCRN-005_daily_chart_room|SCRN-006_reverse_splits|ENTR-002_fcnh|ENTR-003_dollar_levels|ENTR-004_micro_pullback|PROF-001_dont_cap_green|PROF-002_scale_out|PROF-004_size_up_hot|MKTCOND-002_leading_gapper|TIMING-001_premarket_watch|TIMING-002_opening_range|TIMING-003_midday_dead
A Valentine's Day Gift from Me! 40% off Coupon Code VALENTINE40.txt,8865,True,True,0.9869,0.0131,17,SCRN-001_news_catalyst|SCRN-002_relative_volume|SCRN-003_float|ENTR-003_dollar_levels|ENTR-004_micro_pullback|ENTR-006_bull_flag|STOP-004_thirty_pct_soft_stop|PROF-002_scale_out|PROF-003_daily_goals|PROF-004_size_up_hot|PROF-005_cold_market|MKTCOND-001_cold_hot_framework|MKTCOND-004_overall_market|TIMING-001_premarket_watch|TIMING-002_opening_range|TIMING-003_midday_dead|TIMING-006_power_hour
"Back from California +$7,516.04 in 1hr on Monday Morning!.txt",3767,True,True,0.9869,0.0131,11,SCRN-001_news_catalyst|SCRN-002_relative_volume|SCRN-004_price_range|SCRN-006_reverse_splits|ENTR-003_dollar_levels|STOP-003_fifty_pct_daily_stop|PROF-002_scale_out|MKTCOND-002_leading_gapper|TIMING-001_premarket_watch|TIMING-002_opening_range|TIMING-003_midday_dead
Back to Back Losers -$27k Day Trading Recap by Ross Cameron.txt,5190,True,True,0.9869,0.0131,16,SCRN-001_news_catalyst|SCRN-003_float|SCRN-004_price_range|SCRN-005_daily_chart_room|SCRN-010_front_back_side|ENTR-009_topping_tails|STOP-001_macd_hands_off|STOP-003_fifty_pct_daily_stop|STOP-007_position_stop|PROF-001_dont_cap_green|PROF-003_daily_goals|PROF-004_size_up_hot|PROF-005_cold_market|MKTCOND-001_cold_hot_framework|MKTCOND-002_leading_gapper|MKTCOND-004_overall_market
Day 3 +77% Accuracy - Small Account Challenge Ep 9.txt,4586,True,True,0.9869,0.0131,10,SCRN-001_news_catalyst|SCRN-004_price_range|SCRN-005_daily_chart_room|SCRN-006_reverse_splits|ENTR-001_macd_gate|ENTR-003_dollar_levels|MKTCOND-002_leading_gapper|MKTCOND-003_cheap_gappers|MKTCOND-004_overall_market|MKTCOND-005_seasonal
I'm a Broken Man and Here's How I'm Fixing It.txt,5993,True,True,0.9869,0.0131,20,SCRN-001_news_catalyst|SCRN-003_float|SCRN-004_price_range|SCRN-010_front_back_side|ENTR-003_dollar_levels|ENTR-004_micro_pullback|ENTR-005_vwap|ENTR-009_topping_tails|STOP-001_macd_hands_off|STOP-003_fifty_pct_daily_stop|STOP-007_position_stop|PROF-003_daily_goals|PROF-004_size_up_hot|PROF-005_cold_market|PROF-006_start_small|MKTCOND-004_overall_market|MKTCOND-005_seasonal|TIMING-002_opening_range|TIMING-003_midday_dead|TIMING-006_power_hour
[LIVE] DAY TRADING Morning Show with Ross Cameron!.txt,4371,True,True,0.9869,0.0131,15,SCRN-001_news_catalyst|SCRN-002_relative_volume|SCRN-003_float|SCRN-004_price_range|SCRN-005_daily_chart_room|ENTR-001_macd_gate|ENTR-004_micro_pullback|ENTR-009_topping_tails|STOP-003_fifty_pct_daily_stop|PROF-003_daily_goals|MKTCOND-001_cold_hot_framework|MKTCOND-002_leading_gapper|MKTCOND-004_overall_market|TIMING-002_opening_range|TIMING-003_midday_dead
-$40k Red Day Day Trading Recap by Ross Cameron.txt,2890,True,True,0.9868,0.0132,11,SCRN-001_news_catalyst|SCRN-003_float|ENTR-004_micro_pullback|ENTR-009_topping_tails|STOP-003_fifty_pct_daily_stop|STOP-004_thirty_pct_soft_stop|PROF-003_daily_goals|PROF-005_cold_market|MKTCOND-002_leading_gapper|TIMING-001_premarket_watch|TIMING-004_no_trade_days
Bloody Valentine's Day -$2.9k.txt,3078,True,True,0.9868,0.0132,9,SCRN-009_short_interest|ENTR-002_fcnh|ENTR-003_dollar_levels|STOP-003_fifty_pct_daily_stop|PROF-003_daily_goals|PROF-005_cold_market|MKTCOND-001_cold_hot_framework|MKTCOND-004_overall_market|TIMING-003_midday_dead
Day 20 My First Big Red Day on $RGSE.txt,6174,True,True,0.9868,0.0132,13,SCRN-001_news_catalyst|SCRN-003_float|SCRN-006_reverse_splits|SCRN-007_foreign_stocks|SCRN-009_short_interest|ENTR-002_fcnh|ENTR-003_dollar_levels|STOP-003_fifty_pct_daily_stop|STOP-007_position_stop|PROF-005_cold_market|TIMING-001_premarket_watch|TIMING-002_opening_range|TIMING-003_midday_dead
Day Trading in 2018 - Year in Review +$500k.txt,7207,True,True,0.9868,0.0132,11,SCRN-001_news_catalyst|SCRN-002_relative_volume|SCRN-003_float|SCRN-004_price_range|STOP-004_thirty_pct_soft_stop|STOP-006_halt_offering|MKTCOND-004_overall_market|MKTCOND-005_seasonal|TIMING-001_premarket_watch|TIMING-002_opening_range|TIMING-003_midday_dead
